region,transportation_type,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25
Chile,driving,100.0,99.01,102.57,106.47,124.69,120.83,97.12,102.53,101.57,102.41,107.31,124.15,118.81,99.66,107.13,102.57,101.5,106.61,131.48,129.34,102.43,112.31,109.69,113.49,117.69,139.24,135.2,111.81,122.24,115.22,116.03,123.72,147.07,133.92,109.45,121.37,114.62,116.11,118.84,136.88,128.4,101.01,107.67,106.95,105.08,111.11,131.65,123.39,84.09,95.14,94.83,95.54,95.79,114.72,111.25,68.99,88.41,95.9,93.92,91.16,109.18,100.69,58.2,60.99,51.77,45.09,39.39,39.39,28.94,19.38,30.37,32.12,31.74,37.77,28.19,23.85,18.98,27.89,29.93,30.84,31.75,32.62,28.03,22.3,32.0,34.63,35.2,36.45,25.1,26.52,20.39,36.29,36.02,37.14,36.81,42.7,35.36,26.29,39.9,41.09,42.97,43.45,46.93,39.87,28.84,40.8,42.77,45.98,51.9,35.45,41.0,30.36,49.16,53.21,51.7,49.48,58.37,50.39,42.43,,,42.59,45.71,52.59,32.11,24.15,34.24,34.55,37.39,29.2,40.81,34.36,26.08,38.91
Chile,walking,100.0,102.58,103.13,103.74,107.87,86.73,59.44,99.53,98.22,101.48,104.03,105.78,83.2,59.55,100.85,97.6,96.02,101.29,107.44,86.87,60.33,98.79,103.85,106.43,105.25,112.31,93.48,65.7,102.72,104.7,105.16,112.07,120.99,93.08,68.1,106.39,103.2,103.6,106.98,111.69,93.75,65.96,100.87,106.68,105.07,113.44,126.14,94.7,60.64,102.1,107.23,108.74,107.85,119.14,90.39,65.37,103.23,116.27,111.48,108.83,110.85,84.49,45.26,62.42,47.54,37.5,30.19,28.53,18.83,13.13,22.91,23.13,22.76,26.48,18.08,15.84,12.76,19.39,20.33,20.93,21.23,24.07,18.6,14.9,23.62,24.91,23.62,24.52,17.93,18.14,13.69,26.48,26.11,24.78,24.85,29.64,23.92,17.44,27.8,27.92,29.19,28.57,32.79,27.92,18.53,29.59,30.76,32.47,35.1,24.15,27.77,21.48,34.5,36.23,34.15,35.53,38.4,35.8,32.08,,,32.49,31.49,38.56,23.12,16.85,25.89,25.04,27.25,20.98,29.65,24.59,18.96,29.26
Colombia,driving,100.0,97.85,99.65,97.22,109.1,120.38,103.25,95.63,93.95,95.37,94.74,106.37,122.27,102.01,89.35,92.76,90.77,91.45,102.23,119.07,102.2,86.88,90.98,91.48,88.49,107.74,127.12,103.77,91.24,92.7,92.51,91.93,106.82,120.98,101.06,90.13,89.95,91.59,95.07,110.22,128.49,105.41,93.35,89.57,88.31,84.99,96.85,118.23,89.41,78.46,82.12,82.23,86.08,95.23,118.34,90.98,79.1,81.32,72.66,70.32,80.28,94.28,67.0,54.0,49.2,43.51,43.84,36.06,23.77,22.0,25.08,27.77,22.96,23.88,23.79,25.59,25.2,25.41,25.57,25.85,26.78,26.23,27.33,26.83,27.13,28.16,29.1,29.16,26.4,29.38,26.31,27.52,29.65,29.82,28.96,29.71,30.1,28.96,29.23,30.49,30.41,31.85,31.23,34.47,30.75,34.79,35.42,35.41,38.38,37.08,40.28,34.9,38.93,39.45,42.73,42.47,43.81,45.46,37.56,,,45.19,47.12,47.7,54.14,44.23,47.3,47.56,51.91,52.29,54.78,58.32,48.9,49.29
Colombia,walking,100.0,103.15,104.44,102.96,112.65,116.71,101.0,97.52,102.29,100.24,98.95,113.08,117.66,98.95,91.84,96.66,87.78,100.43,105.35,116.13,97.66,93.94,96.61,103.01,97.18,111.12,124.15,94.51,94.8,95.7,95.7,97.37,109.45,117.66,93.6,94.03,95.51,95.66,96.85,107.59,127.88,105.82,100.57,92.51,95.56,92.46,102.34,114.18,89.88,83.44,87.83,91.74,95.42,99.47,121.48,94.89,83.34,91.36,82.0,80.53,90.69,101.43,71.69,61.72,54.08,44.63,48.16,41.81,30.26,26.73,32.27,32.22,29.79,29.69,29.26,31.93,32.36,31.17,31.26,33.22,31.93,31.26,33.46,34.84,31.6,35.94,34.75,36.42,37.85,37.47,33.32,33.7,39.05,36.95,32.7,38.71,35.42,35.42,38.33,37.61,37.9,40.53,40.81,41.81,43.82,45.49,48.4,41.43,47.35,42.86,50.64,41.1,48.83,46.73,49.59,48.74,49.83,49.93,41.58,,,52.89,55.13,53.03,61.77,52.65,57.23,55.51,56.99,56.18,61.38,61.38,55.94,56.8
Croatia,driving,100.0,102.23,102.77,98.19,108.51,108.06,105.89,95.73,97.04,97.93,100.48,105.52,103.48,96.48,97.2,94.04,95.71,95.13,104.87,110.08,103.36,92.75,98.01,101.33,98.91,107.41,112.64,108.77,98.44,99.87,102.82,103.02,121.46,122.94,122.61,103.11,103.34,103.49,109.22,123.42,124.0,117.8,101.27,97.66,95.32,98.31,106.94,102.18,97.28,91.76,95.22,95.12,101.01,108.84,103.38,101.47,93.61,89.39,86.34,77.47,71.89,57.01,50.05,45.82,44.88,40.99,39.66,39.87,30.85,40.23,27.56,21.93,21.32,21.79,23.58,20.51,21.47,24.45,26.41,25.98,27.97,26.77,26.2,26.18,30.47,31.83,32.21,35.53,32.9,26.15,22.45,29.5,30.65,34.61,37.79,38.04,35.05,33.02,38.34,39.38,43.13,44.68,46.7,44.66,42.46,47.61,47.24,46.5,48.05,44.11,45.22,49.59,52.91,52.95,53.37,57.7,60.26,59.77,56.52,,,70.14,68.0,77.21,77.87,78.6,73.42,74.89,79.79,92.13,99.54,96.19,91.73,81.96
Croatia,walking,100.0,103.28,105.83,104.89,117.78,101.14,88.79,96.69,101.8,105.26,104.07,109.04,108.0,75.8,97.98,95.63,100.15,99.48,119.06,112.15,91.06,104.57,92.12,92.79,103.16,115.26,115.14,88.79,101.8,106.96,107.73,106.49,127.78,140.59,116.0,109.78,105.26,115.23,119.68,140.79,143.65,115.43,115.11,118.62,95.78,110.22,114.86,113.85,75.8,109.06,105.85,109.6,119.11,127.88,122.35,90.17,102.57,97.48,105.73,87.88,75.7,60.49,50.81,47.23,49.83,43.23,40.69,41.04,24.67,20.4,20.86,18.05,17.06,19.31,22.15,21.21,20.79,24.35,26.22,27.31,31.43,31.65,33.63,33.36,32.17,35.68,36.74,38.59,40.64,33.41,29.04,37.58,28.99,38.64,45.04,47.93,49.7,42.44,37.33,41.75,45.58,48.69,46.1,49.7,42.84,48.84,50.35,40.05,49.65,40.25,39.65,50.07,53.48,51.21,54.96,63.8,66.2,58.54,47.75,,,65.38,66.57,63.93,58.3,61.16,75.01,65.98,65.21,81.75,92.47,78.27,65.31,75.65
Czech Republic,driving,100.0,101.17,106.68,109.34,123.54,112.54,105.38,99.26,101.99,107.94,108.64,119.07,111.51,102.61,101.47,105.2,107.57,109.63,117.92,113.7,109.45,108.48,109.26,109.62,111.94,128.92,125.16,115.82,106.97,114.42,118.95,122.99,142.36,135.66,120.36,115.34,116.58,119.7,120.49,137.04,130.49,116.86,114.4,116.85,115.37,118.0,125.78,117.44,112.31,107.43,107.64,117.5,114.66,129.65,114.79,111.5,106.7,99.23,100.34,92.35,84.13,62.63,63.56,48.85,46.98,48.38,47.62,45.95,32.7,37.56,45.6,48.07,49.53,49.05,54.62,51.82,44.6,50.82,51.43,55.58,57.43,54.6,48.59,60.85,62.78,68.46,72.04,74.78,66.1,67.07,65.41,54.2,67.89,75.47,82.81,82.59,75.66,68.55,77.91,82.2,84.55,85.59,87.52,74.46,84.81,87.33,89.54,86.2,90.76,83.87,76.66,81.52,87.99,90.37,95.35,111.14,105.77,97.63,95.86,,,96.44,96.87,102.89,98.78,102.26,102.57,105.96,109.34,112.22,108.29,83.74,99.48,102.44
Czech Republic,transit,100.0,98.02,101.88,103.3,107.22,101.48,92.46,97.34,100.71,107.19,110.59,108.15,98.9,95.0,98.53,102.76,106.37,105.84,111.99,107.65,105.53,113.82,108.92,112.78,112.95,124.36,116.18,104.74,112.94,119.33,125.96,126.84,138.83,129.78,120.25,132.3,130.94,132.73,132.5,127.66,129.48,115.25,130.3,134.87,133.55,133.47,125.72,116.89,112.91,116.96,121.02,127.75,123.83,127.78,113.1,107.2,108.91,99.73,96.06,76.0,55.28,36.99,30.44,20.11,17.32,15.85,17.13,16.06,14.69,15.1,15.86,17.38,17.9,16.83,17.97,17.74,16.13,18.04,17.23,18.65,19.31,17.43,17.76,22.11,21.14,23.39,24.89,27.48,26.01,26.47,25.43,21.2,24.47,27.28,28.19,27.52,27.4,26.27,30.12,28.87,29.66,30.75,30.75,27.4,32.68,36.04,34.44,33.64,35.42,34.18,30.2,33.17,38.92,38.26,38.83,42.21,41.44,39.08,39.13,,,46.88,45.03,45.4,46.9,47.8,54.12,54.23,55.35,55.13,50.62,37.9,47.46,53.89
Czech Republic,walking,100.0,99.92,103.24,107.32,136.65,139.38,99.77,98.55,98.78,107.31,110.07,132.94,141.48,103.78,107.72,106.75,108.07,111.73,144.4,158.48,112.81,118.53,110.04,113.82,118.77,155.45,166.52,123.72,110.92,118.46,125.25,137.26,185.6,195.4,140.22,142.74,142.46,137.55,141.99,162.88,183.22,125.01,138.05,141.77,134.97,134.91,155.47,158.14,123.3,121.16,109.33,122.69,125.02,149.8,147.64,119.83,107.93,98.78,95.15,91.76,69.24,47.48,38.08,25.5,24.76,27.42,26.05,24.97,16.13,17.5,22.13,23.98,23.88,23.19,30.46,34.24,21.29,24.69,22.79,28.7,29.93,27.1,29.85,39.6,35.9,40.01,41.79,42.94,42.24,45.52,46.37,24.99,31.2,39.91,45.89,46.11,49.73,36.61,42.91,42.79,47.88,46.28,45.89,41.32,47.72,49.35,49.29,41.11,46.81,46.3,40.08,38.75,46.42,46.44,48.14,54.42,61.68,59.9,41.21,,,51.68,51.57,52.99,59.67,55.2,60.81,61.01,61.92,61.96,60.42,38.3,44.66,51.3
Denmark,driving,100.0,103.67,105.55,104.16,110.4,105.47,103.52,102.37,104.12,107.02,107.19,112.43,106.45,99.5,100.78,103.15,106.05,107.95,121.58,114.3,110.32,105.32,107.72,108.5,107.35,114.06,105.43,93.99,103.42,107.14,108.02,110.03,113.19,104.27,98.93,102.21,107.19,110.27,112.79,118.37,109.78,103.25,103.9,110.44,110.13,112.25,124.22,116.13,107.98,103.48,108.13,109.36,110.75,118.81,113.75,104.49,101.64,100.99,90.37,67.62,66.97,62.05,56.49,62.62,58.82,55.46,59.78,60.23,56.59,55.81,59.21,60.48,62.93,64.33,66.46,62.57,59.38,64.61,70.8,69.53,69.08,72.34,67.84,75.49,84.67,86.89,89.81,74.33,74.66,71.32,71.54,73.58,77.88,80.32,82.37,85.22,80.85,84.05,85.69,88.88,91.11,93.2,92.28,85.8,85.75,86.22,89.35,88.06,90.64,94.39,87.7,95.53,94.7,98.29,100.29,107.21,100.57,100.51,100.3,,,105.15,106.35,108.96,97.96,101.08,109.09,114.29,125.43,117.87,118.69,107.79,107.6,113.64
Denmark,transit,100.0,98.09,98.22,99.55,111.53,108.82,102.06,96.41,99.1,99.58,103.12,114.83,111.8,98.21,100.76,105.78,108.27,111.65,127.94,120.71,115.79,103.61,102.2,107.19,102.62,115.24,112.3,101.45,103.7,107.76,103.61,105.5,114.41,112.56,107.51,105.58,111.99,114.15,122.5,130.37,124.55,106.04,102.94,104.58,106.09,104.81,120.99,120.91,105.83,98.93,102.88,101.65,103.03,115.12,109.95,97.29,93.95,91.14,77.56,48.7,45.07,39.65,33.91,32.69,28.17,25.76,29.16,27.97,27.14,27.42,26.07,26.51,26.33,27.01,27.21,28.69,27.39,27.76,29.02,28.55,29.55,28.34,31.71,33.54,34.78,35.29,35.24,33.76,34.54,32.59,34.4,35.26,34.36,37.09,37.28,40.06,38.39,42.4,41.87,43.19,42.56,45.63,44.02,43.87,45.5,42.76,43.49,41.71,44.71,47.39,44.9,48.91,49.22,48.86,48.86,51.43,52.11,51.12,49.92,,,54.15,52.96,55.15,53.99,56.1,56.05,58.4,58.45,60.1,58.76,56.17,57.68,63.46
Denmark,walking,100.0,99.31,104.04,107.99,131.4,126.32,96.4,102.74,104.03,108.79,106.78,133.24,133.19,89.04,97.29,105.64,112.5,115.06,146.15,140.82,104.73,105.01,106.31,111.81,110.86,131.5,131.07,77.13,101.2,104.24,104.43,119.29,141.38,125.1,81.17,97.36,107.58,117.17,120.13,145.54,123.99,88.97,100.38,98.78,107.83,115.52,147.94,135.36,96.3,104.5,106.18,111.64,115.88,137.78,143.34,90.9,97.37,93.53,91.86,54.89,62.04,66.91,46.67,55.9,49.84,45.91,56.3,54.85,59.29,50.87,52.11,53.17,56.91,58.8,63.98,64.24,50.9,54.27,60.88,54.62,53.2,58.8,64.62,72.24,80.21,81.1,80.84,72.01,73.72,65.98,69.45,60.65,66.49,70.92,74.24,81.08,82.95,79.49,83.64,86.29,88.04,90.22,88.08,87.26,75.37,75.19,82.19,69.03,68.65,84.29,80.43,86.44,87.77,90.13,91.81,100.04,101.83,102.64,83.63,,,92.24,91.64,93.69,84.3,76.44,84.31,99.39,111.33,112.02,109.97,102.32,75.32,100.54
Egypt,driving,100.0,98.78,104.14,113.6,92.9,100.18,99.76,99.72,103.72,108.55,130.19,113.81,108.49,118.84,120.56,122.58,127.68,138.14,132.62,124.99,123.04,121.73,123.38,128.78,131.39,122.99,117.6,105.82,105.39,107.62,114.49,128.91,119.09,116.49,109.34,108.79,108.41,116.21,123.01,111.49,113.4,105.67,175.25,102.74,117.01,130.7,112.34,116.23,105.29,106.31,109.89,112.82,128.34,111.12,112.35,109.76,102.95,104.93,114.97,38.82,47.42,77.96,90.15,85.45,76.94,73.12,63.33,48.41,47.74,46.39,41.07,39.55,35.56,35.27,21.1,27.21,40.29,38.92,38.14,40.96,41.25,26.56,31.7,40.11,43.37,43.17,41.86,46.3,32.6,39.02,51.6,52.27,52.19,54.85,57.67,38.57,41.62,44.97,34.16,75.24,81.11,67.36,27.94,37.54,46.42,48.51,48.84,53.1,50.61,43.94,50.95,56.89,56.64,57.28,58.85,59.87,49.51,57.19,59.56,,,59.7,59.39,50.79,57.35,61.8,64.93,64.34,66.5,65.56,55.73,54.26,34.58,45.27
Egypt,walking,100.0,96.45,100.74,103.42,91.93,96.38,97.88,101.38,99.79,109.75,119.96,103.75,107.34,121.22,127.33,117.43,124.53,127.5,119.9,119.24,123.75,120.26,117.73,125.59,121.57,112.0,114.43,103.05,113.75,111.12,115.16,122.06,113.41,117.62,107.69,105.24,107.74,114.05,116.34,107.23,112.59,104.8,116.83,104.13,115.58,121.44,112.94,114.19,106.62,107.1,110.36,113.06,121.13,108.65,109.45,104.94,100.06,107.23,104.79,46.94,56.68,76.5,83.11,80.05,73.41,68.96,60.49,46.71,50.96,46.19,43.57,40.08,38.74,39.3,28.16,33.44,40.82,38.49,36.95,43.94,42.32,29.81,36.57,43.96,43.17,43.61,40.94,45.35,35.3,40.82,49.41,49.35,49.11,49.72,52.51,36.31,41.7,43.06,32.25,59.58,62.68,54.33,30.91,41.53,50.13,48.17,47.35,49.81,48.88,49.03,51.98,54.45,53.63,51.92,57.44,56.58,46.85,54.0,58.56,,,55.99,54.52,50.28,54.11,57.81,55.45,57.34,57.2,58.74,51.14,54.25,36.38,46.71
Estonia,driving,100.0,106.93,106.41,115.22,132.85,128.75,107.61,101.66,107.16,104.49,109.24,135.75,138.89,108.16,98.57,98.34,104.21,107.67,127.29,135.4,113.7,102.21,104.19,105.88,118.7,152.49,146.04,118.64,105.78,110.9,115.29,125.22,158.9,156.51,132.21,121.16,120.55,126.22,134.37,150.88,141.36,122.6,121.06,127.19,123.42,123.3,133.53,129.93,103.6,100.78,101.86,109.48,116.67,144.04,146.29,125.54,106.44,105.48,103.96,86.54,87.46,81.09,71.3,60.41,63.05,55.28,64.73,71.37,64.32,67.7,62.64,61.09,62.33,61.88,63.68,71.24,56.55,52.04,56.81,59.1,60.72,61.06,71.44,71.46,72.4,80.76,80.47,77.54,81.8,75.42,56.71,71.93,68.59,70.41,70.06,82.2,89.02,80.05,83.79,93.81,98.3,99.72,98.27,92.93,84.26,86.85,76.74,86.56,95.88,104.01,87.57,88.61,91.44,101.65,105.08,103.29,113.12,115.38,113.91,,,94.79,108.22,123.28,108.14,98.2,108.8,116.15,120.73,120.34,144.69,143.67,116.81,121.34
Estonia,transit,100.0,99.03,99.77,100.6,127.37,109.89,87.07,102.85,102.71,101.79,102.3,120.98,107.59,95.86,101.66,105.38,107.18,105.52,112.93,111.45,100.46,103.96,114.77,115.55,113.34,132.93,117.3,113.16,117.25,120.1,120.33,122.13,136.25,122.03,111.45,135.19,124.33,128.38,131.65,136.75,113.11,103.17,122.95,148.39,137.03,140.98,131.46,112.47,94.34,112.28,113.75,113.85,125.62,142.82,114.67,100.09,111.36,104.23,110.53,84.68,74.33,56.95,41.08,39.19,38.22,34.77,38.59,39.14,34.22,34.82,37.4,37.17,37.03,32.75,27.32,30.27,26.49,26.77,27.64,30.04,30.22,29.76,30.73,29.71,35.74,32.38,35.46,34.91,39.74,31.88,26.36,35.05,31.65,29.02,30.45,32.75,33.21,33.99,43.51,47.15,45.26,40.8,41.49,37.99,40.29,41.31,37.12,42.09,44.43,48.99,39.51,40.43,53.04,57.87,63.89,52.85,51.66,51.89,52.9,,,60.95,63.43,64.9,56.35,60.3,77.28,65.09,68.4,75.34,78.52,73.78,66.84,86.2
Estonia,walking,100.0,103.31,104.45,110.69,155.25,171.56,112.09,112.74,115.92,108.77,118.56,175.98,219.43,121.61,108.12,108.84,128.6,135.55,161.36,192.75,114.59,108.64,119.53,120.6,127.69,196.82,220.8,123.63,119.17,130.58,134.71,150.6,229.51,219.01,154.76,171.89,167.24,171.89,189.11,194.57,169.81,164.25,146.77,175.53,154.53,175.07,188.3,185.28,109.68,117.16,115.63,108.64,137.73,186.29,214.04,143.26,121.16,120.7,110.63,95.06,100.32,82.78,64.93,48.13,56.22,44.75,62.43,71.92,57.43,67.11,54.79,56.87,53.1,57.36,61.33,64.54,46.86,39.42,42.93,46.77,45.17,44.85,59.18,67.08,68.22,71.63,70.69,62.95,65.19,66.62,36.01,52.03,50.7,48.52,44.39,70.95,67.08,62.63,74.13,84.21,91.42,87.88,77.58,72.54,70.0,66.95,47.25,70.65,78.62,91.55,59.18,76.34,78.91,93.18,92.98,84.99,95.91,90.12,85.67,,,71.17,83.1,90.64,68.02,69.29,87.23,94.18,98.67,99.29,121.94,119.37,84.82,104.09
Finland,driving,100.0,102.42,105.41,104.46,117.78,120.16,112.58,100.97,103.11,103.27,103.37,119.02,119.09,110.2,97.3,102.31,103.05,103.3,121.3,118.69,112.36,101.01,103.31,103.1,105.07,125.1,125.04,112.75,102.38,104.23,108.16,114.97,135.6,138.63,117.3,108.23,111.13,115.39,116.04,134.8,141.73,122.31,111.17,111.63,115.06,116.1,134.01,135.92,114.53,106.14,107.21,107.62,109.68,127.47,127.69,114.36,99.3,99.82,98.53,86.92,91.48,91.77,79.93,69.2,66.72,67.71,71.84,81.0,75.7,72.88,66.03,66.46,68.8,73.21,75.92,72.23,68.49,67.71,68.26,71.48,70.79,71.94,73.12,73.74,73.07,75.52,80.18,83.39,76.81,76.06,54.91,74.72,72.53,75.78,76.8,88.83,87.21,86.59,84.52,93.02,90.86,90.33,98.01,84.5,90.16,88.14,89.67,93.91,103.51,86.23,91.21,102.18,97.25,102.01,101.68,104.04,115.6,110.85,98.92,,,101.51,104.33,116.65,104.6,108.7,108.66,110.13,121.05,123.53,134.41,120.79,122.93,117.73
Finland,transit,100.0,98.58,99.52,101.67,104.5,101.66,98.45,101.21,101.75,99.77,102.42,104.24,98.82,95.71,99.14,104.02,100.54,97.82,103.22,98.45,94.66,101.87,101.12,100.18,103.84,103.94,108.63,96.66,102.2,103.67,99.12,105.19,109.69,106.41,101.88,104.08,102.87,108.97,101.71,109.29,109.47,102.06,105.78,104.75,110.93,106.48,111.4,106.69,98.55,104.77,98.28,101.41,98.89,109.1,101.52,96.95,91.68,94.49,89.5,76.09,73.06,66.01,58.61,59.47,47.36,44.37,45.37,43.31,37.65,41.99,38.71,39.38,35.61,36.88,34.97,35.76,38.39,38.45,38.27,36.03,36.93,36.16,34.47,36.11,39.23,36.31,38.51,35.48,37.96,34.02,32.26,41.28,39.78,39.22,36.5,40.39,37.89,42.44,46.86,49.01,44.39,47.3,41.18,41.4,47.09,45.52,48.0,44.04,45.14,43.14,43.37,51.97,54.31,55.89,55.71,53.56,52.87,51.51,50.07,,,53.56,52.16,51.61,49.46,54.59,58.3,54.81,55.57,60.23,62.26,57.42,60.85,64.25
Finland,walking,100.0,96.91,101.01,104.8,112.42,112.51,90.11,99.27,99.25,100.64,102.29,112.82,118.59,88.15,88.29,93.69,96.89,96.88,113.66,110.28,88.05,95.61,98.57,101.36,99.76,112.11,119.42,85.15,92.14,103.36,102.25,120.51,121.65,111.39,79.1,95.11,103.72,106.41,100.89,109.28,103.71,94.74,102.21,107.1,107.46,105.78,116.57,120.73,80.62,97.4,99.25,90.1,97.26,120.2,120.0,92.45,91.69,86.45,84.57,82.82,78.52,79.46,61.04,59.95,55.71,59.53,64.98,65.1,59.87,59.37,56.94,60.08,59.56,64.57,66.85,69.55,61.07,59.04,55.83,65.26,59.47,57.82,70.28,71.09,69.57,70.32,75.25,70.02,68.27,70.36,40.75,66.49,59.72,61.18,61.08,70.16,77.97,80.01,78.78,96.17,83.97,83.75,73.4,69.58,77.01,79.51,70.97,70.35,83.1,70.98,69.88,91.61,88.39,99.02,96.71,92.43,93.74,104.24,76.08,,,81.56,83.9,81.99,73.93,78.0,92.68,87.74,88.38,99.98,107.93,103.64,87.14,102.84
France,driving,100.0,101.6,104.67,107.25,112.07,114.84,93.4,94.67,94.52,97.84,98.36,111.42,109.7,87.85,91.22,92.87,97.88,97.18,107.43,114.7,91.31,93.45,93.89,99.17,99.49,110.43,117.24,89.9,94.95,95.69,99.98,101.41,118.69,126.61,96.71,100.32,100.83,102.03,104.31,118.42,127.73,97.72,99.66,99.4,100.49,99.76,110.5,111.85,87.03,90.07,92.79,95.13,95.6,104.21,107.37,83.78,86.66,88.19,90.42,82.45,83.06,77.54,52.76,56.5,31.7,23.05,22.4,21.2,16.23,15.33,22.36,22.54,22.2,22.05,21.83,18.44,17.2,22.89,23.74,23.86,24.15,23.5,19.72,19.61,25.69,26.27,26.46,26.9,26.58,21.66,17.91,21.83,30.2,30.76,31.09,30.44,24.49,23.65,32.28,33.3,33.86,34.29,32.44,26.22,26.32,34.69,45.68,42.32,39.47,30.65,32.43,32.5,41.89,44.33,46.14,46.95,38.27,38.7,44.57,,,75.01,75.32,79.9,75.29,70.61,81.93,87.72,92.08,86.98,91.12,81.79,81.13,91.63
France,transit,100.0,100.31,102.48,103.75,106.97,111.44,93.29,97.27,97.37,101.6,98.73,102.88,108.67,86.82,93.38,96.84,102.13,102.44,114.36,125.0,96.52,99.2,100.43,107.64,106.75,115.25,115.65,96.23,105.43,105.21,109.02,111.95,119.97,117.34,101.79,118.54,118.54,116.32,118.49,125.78,127.21,108.53,115.31,115.9,120.41,121.51,132.46,132.41,100.53,104.69,106.87,109.26,111.99,121.29,124.75,95.36,97.3,98.7,104.31,92.11,85.57,74.08,42.55,32.84,16.57,13.58,12.71,12.29,10.75,10.31,12.06,12.06,11.75,11.58,11.23,11.07,10.66,11.96,12.04,11.92,11.87,11.56,10.7,11.25,12.6,12.49,12.2,12.1,12.25,11.43,10.56,12.25,13.68,13.56,13.78,13.92,12.55,12.96,14.91,15.76,15.49,15.34,14.68,13.58,14.11,16.11,18.43,18.1,17.36,15.99,16.16,17.49,20.31,21.67,22.83,23.46,22.11,21.52,27.45,,,39.36,39.49,40.7,39.1,39.54,46.2,52.82,52.9,50.76,51.32,48.75,49.17,58.81
France,walking,100.0,105.95,108.49,121.22,117.98,135.17,79.07,86.45,90.11,91.4,95.75,112.71,117.06,66.53,77.64,84.94,95.11,93.85,108.5,126.17,70.78,83.3,86.31,94.07,99.16,106.88,117.98,66.62,80.08,86.83,93.75,95.63,117.96,126.34,74.44,86.9,95.91,94.03,99.23,108.42,120.95,75.84,88.4,89.42,90.61,90.86,106.25,109.99,61.23,73.5,83.57,82.79,83.03,98.34,112.37,61.73,72.76,77.48,84.66,79.25,79.32,75.85,39.6,31.2,18.24,17.24,18.13,15.84,12.37,10.7,17.67,17.57,16.13,15.08,14.87,14.26,10.44,12.95,14.09,14.68,14.64,15.13,14.93,14.45,14.9,16.18,16.23,16.66,17.09,15.5,12.49,13.84,17.36,18.07,18.22,18.3,15.95,13.91,17.37,18.56,19.22,19.68,18.93,17.08,16.18,17.7,19.22,18.96,18.88,15.67,17.84,17.45,21.65,22.3,24.78,25.53,21.98,22.07,22.35,,,48.88,49.71,54.74,54.51,42.83,54.44,59.12,61.63,55.25,60.29,54.27,46.13,59.53
Germany,driving,100.0,101.31,102.82,104.61,114.38,109.65,103.81,100.54,102.9,102.65,102.61,112.68,108.85,102.26,101.93,105.2,102.84,105.23,119.14,115.73,106.1,105.13,107.72,106.59,105.26,120.68,120.85,105.91,105.72,108.42,108.83,112.43,130.41,128.0,109.63,108.0,109.42,110.81,108.14,125.52,119.65,99.22,102.49,105.39,104.39,110.47,117.01,115.16,106.11,101.52,104.1,102.87,105.34,115.68,112.85,105.05,99.11,100.16,97.05,87.94,86.47,78.32,72.26,68.97,63.71,59.52,54.87,50.87,37.9,39.75,45.1,45.53,46.48,48.12,49.58,45.98,42.18,50.0,52.68,53.29,53.15,51.46,47.44,55.02,58.99,60.26,61.92,58.89,51.44,51.05,46.1,53.67,61.19,63.04,65.48,64.69,57.58,63.82,66.95,68.02,69.71,70.28,67.88,62.8,68.59,70.08,69.04,70.61,70.3,62.46,65.91,73.49,75.92,77.39,79.3,81.72,84.77,79.18,78.63,,,84.55,87.25,92.03,87.64,93.4,95.37,97.63,105.56,102.46,102.01,91.77,100.28,100.75
